Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
49.0,6.7,23.4,6.77,14.7,35.1,1.5,Open Hearth iron,3.06
6.84,7.3,37.6,5.9,2.0,44.9,1.5,Bessemer Steel,3.4
431.0,5.9,12.2,4.1,40.6,7.2,3.0,Bessemer Steel,0.5
11.4,7.3,28.4,6.05,16.6,20.3,3.0,Wrought Iron,2.75
9.7,6.0,33.0,3.42,2.3,47.1,3.0,Wrought Iron,3.59
386.0,4.5,3.0,11.37,32.1,2.6,1.5,Open Hearth iron,2.08
66.7,5.6,22.2,4.85,7.0,17.7,1.5,Open Hearth iron,4.02
31.9,7.1,12.4,6.31,33.5,12.8,3.0,Bessemer Steel,2.58
13.2,5.3,33.1,1.73,6.9,40.3,3.0,Open Hearth iron,0.82
5.7,3.7,42.6,8.0,1.9,87.8,3.0,Wrought Iron,4.3
82.9,4.4,22.2,3.11,12.0,26.5,3.0,Bessemer Steel,2.99
49.0,6.7,23.4,12.0,14.7,35.1,3.0,Open Hearth iron,4.3
204.95,4.61,2.88,17.6,38.1,0.73,3.04,Open Hearth iron,4.45
5.7,3.7,42.6,12.0,1.9,87.8,3.0,Wrought Iron,8.3
11.49,7.35,28.42,9.9,16.69,20.27,1.48,Bessemer Steel,3.28
4.08,6.8,24.6,2.39,2.5,62.6,3.0,Wrought Iron,3.45
17.7,7.6,25.7,8.0,2.6,46.1,3.0,Bessemer Steel,2.0
3.3,7.6,37.0,1.1,8.7,70.1,3.0,Open Hearth iron,0.6
29.8,7.3,46.4,16.9,20.9,18.6,1.5,Wrought Iron,5.1
4.89,7.5,54.4,4.11,5.7,70.4,3.0,Bessemer Steel,3.88
66.7,5.6,22.2,11.61,7.0,17.7,1.5,Open Hearth iron,6.82
13.15,7.0,28.8,9.05,4.9,35.8,3.0,Wrought Iron,5.48
74.4,5.6,24.2,5.77,7.5,15.3,1.5,Open Hearth iron,2.43
112.0,4.5,13.8,12.0,16.0,17.6,1.5,Bessemer Steel,2.9
4.89,7.5,54.4,2.12,5.7,70.4,3.0,Bessemer Steel,2.76
85.0,4.9,29.4,7.6,5.4,1.2,1.5,Bessemer Steel,4.2
20.6,7.3,18.0,15.36,10.9,26.0,3.0,Open Hearth iron,1.22
2.29,8.83,28.74,14.5,4.97,24.56,1.58,Bessemer Steel,35.17
5.08,7.63,54.31,2.0,5.67,70.45,1.65,Bessemer Steel,2.14
74.4,5.6,24.2,4.0,7.5,15.3,1.5,Bessemer Steel,2.7
74.38,5.62,24.16,10.0,7.42,15.32,3.2,Bessemer Steel,4.79
6.85,7.25,37.75,2.2,1.94,44.87,1.47,Wrought Iron,1.95
177.9,4.8,29.1,7.9,18.2,46.1,1.5,Open Hearth iron,3.7
79.77,6.41,15.78,10.45,26.0,13.4,3.0,Open Hearth iron,3.82
431.0,5.9,12.2,3.16,40.6,7.2,3.0,Bessemer Steel,0.37
13.15,7.0,28.8,17.5,4.9,35.8,3.0,Bessemer Steel,8.6
82.84,4.37,22.17,7.8,11.93,26.47,3.25,Bessemer Steel,4.47
13.2,5.3,33.1,2.14,6.9,40.3,1.5,Wrought Iron,1.3
35.18,6.18,17.03,9.8,14.48,13.84,1.8,Open Hearth iron,4.04
8.0,6.8,72.8,8.34,34.0,46.2,1.5,Open Hearth iron,9.35
386.0,4.5,3.0,5.77,32.1,2.6,1.5,Open Hearth iron,0.84
82.95,4.45,22.24,6.0,12.16,26.49,3.08,Wrought Iron,5.59
8.0,6.8,72.8,7.6,34.0,46.2,1.5,Wrought Iron,9.2
3.32,7.61,36.86,1.1,8.57,70.34,3.04,Open Hearth iron,0.63
8.0,6.8,72.8,10.91,34.0,46.2,3.0,Open Hearth iron,10.93
57.0,7.3,17.8,11.7,11.7,15.8,3.0,Wrought Iron,3.6
17.8,7.2,25.8,2.9,9.5,36.0,3.0,Wrought Iron,0.58
5.7,3.7,42.6,2.4,1.9,87.8,3.0,Wrought Iron,1.18
